[Subscriber{id=0, firstName='Абрам', lastName='Смирнов', gender=м, age=84, phoneNumber='380670832861', operator=Kievstar}
, Subscriber{id=33, firstName='Анатолий', lastName='Титов', gender=м, age=48, phoneNumber='380668696392', operator=Vodafone}
, Subscriber{id=34, firstName='Алия', lastName='Молчанова', gender=ж, age=78, phoneNumber='380661619376', operator=Vodafone}
, Subscriber{id=35, firstName='Анна', lastName='Крылова', gender=ж, age=15, phoneNumber='380951823433', operator=Vodafone}
, Subscriber{id=36, firstName='Андоим', lastName='Баранов', gender=м, age=77, phoneNumber='380675210908', operator=Kievstar}
, Subscriber{id=37, firstName='Андрей', lastName='Куликов', gender=м, age=87, phoneNumber='380638376935', operator=Life}
, Subscriber{id=38, firstName='Андриана', lastName='Осипова', gender=ж, age=60, phoneNumber='380939738892', operator=Life}
, Subscriber{id=39, firstName='Анжела', lastName='Белоусова', gender=ж, age=41, phoneNumber='380508302149', operator=Vodafone}
, Subscriber{id=40, firstName='Анисья', lastName='Федотова', gender=ж, age=9, phoneNumber='380735547447', operator=Life}
, Subscriber{id=41, firstName='Анита', lastName='Дорофеева', gender=ж, age=70, phoneNumber='380737870997', operator=Life}
, Subscriber{id=42, firstName='Анжиолетта', lastName='Егорова', gender=ж, age=44, phoneNumber='380954703251', operator=Vodafone}
, Subscriber{id=43, firstName='Аркадий', lastName='Щукин', gender=м, age=20, phoneNumber='380661574597', operator=Vodafone}
, Subscriber{id=44, firstName='Лика', lastName='Матвеева', gender=ж, age=57, phoneNumber='380987509775', operator=Kievstar}
, Subscriber{id=45, firstName='Антонина', lastName='Боброва', gender=ж, age=5, phoneNumber='380500285069', operator=Vodafone}
, Subscriber{id=46, firstName='Арнольд', lastName='Сазонов', gender=м, age=68, phoneNumber='380987231894', operator=Kievstar}
, Subscriber{id=47, firstName='Анэля', lastName='Калинина', gender=ж, age=43, phoneNumber='380957458558', operator=Vodafone}
, Subscriber{id=48, firstName='Арсен', lastName='Яковлев', gender=м, age=30, phoneNumber='380986420901', operator=Kievstar}
, Subscriber{id=49, firstName='Алира', lastName='Петухова', gender=ж, age=29, phoneNumber='380934313183', operator=Life}
, Subscriber{id=50, firstName='Арслан', lastName='Сергеев', gender=м, age=55, phoneNumber='380931479809', operator=Life}
, Subscriber{id=51, firstName='Артем', lastName='Романов', gender=м, age=53, phoneNumber='380630608767', operator=Life}
, Subscriber{id=52, firstName='Артемий', lastName='Захаров', gender=м, age=25, phoneNumber='380956517412', operator=Vodafone}
, Subscriber{id=53, firstName='Артур', lastName='Борисов', gender=м, age=35, phoneNumber='380661046913', operator=Vodafone}
, Subscriber{id=54, firstName='Архелия', lastName='Веселова', gender=ж, age=29, phoneNumber='380679086833', operator=Kievstar}
, Subscriber{id=55, firstName='Аскар', lastName='Герасимов', gender=м, age=18, phoneNumber='380974247916', operator=Kievstar}
, Subscriber{id=56, firstName='Ася', lastName='Романова', gender=ж, age=68, phoneNumber='380504933265', operator=Vodafone}
, Subscriber{id=57, firstName='Аслан', lastName='Григорьев', gender=м, age=77, phoneNumber='380503931415', operator=Vodafone}
, Subscriber{id=58, firstName='Аурелия', lastName='Большакова', gender=ж, age=5, phoneNumber='380639713424', operator=Life}
, Subscriber{id=59, firstName='Ахмет', lastName='Медведев', gender=м, age=39, phoneNumber='380931555043', operator=Life}
, Subscriber{id=60, firstName='Ашот', lastName='Ершов', gender=м, age=74, phoneNumber='380958131570', operator=Vodafone}
, Subscriber{id=61, firstName='Беатриса', lastName='Александрова', gender=ж, age=35, phoneNumber='380970509397', operator=Kievstar}
, Subscriber{id=62, firstName='Бежен', lastName='Соболев', gender=м, age=56, phoneNumber='380983840303', operator=Kievstar}
, Subscriber{id=63, firstName='Береслава', lastName='Шестакова', gender=ж, age=51, phoneNumber='380630635459', operator=Life}
, Subscriber{id=64, firstName='Берек', lastName='Поляков', gender=м, age=11, phoneNumber='380938895237', operator=Life}
, Subscriber{id=65, firstName='Биргит', lastName='Ефимова', gender=ж, age=72, phoneNumber='380662453139', operator=Vodafone}
, Subscriber{id=66, firstName='Богдана', lastName='Денисова', gender=ж, age=83, phoneNumber='380980498686', operator=Kievstar}
, Subscriber{id=67, firstName='Божена', lastName='Громова', gender=ж, age=56, phoneNumber='380638908933', operator=Life}
, Subscriber{id=68, firstName='Болеслав', lastName='Фролов', gender=м, age=29, phoneNumber='380987457481', operator=Kievstar}
, Subscriber{id=69, firstName='Борис', lastName='Журавлёв', gender=м, age=37, phoneNumber='380976689880', operator=Kievstar}
, Subscriber{id=70, firstName='Бриллиант', lastName='Давыдова', gender=ж, age=44, phoneNumber='380668845246', operator=Vodafone}
, Subscriber{id=71, firstName='Валентина', lastName='Мельникова', gender=ж, age=72, phoneNumber='380631939816', operator=Life}
, Subscriber{id=72, firstName='Валерия', lastName='Щербакова', gender=ж, age=49, phoneNumber='380662106741', operator=Vodafone}
, Subscriber{id=73, firstName='Ванда', lastName='Блинова', gender=ж, age=80, phoneNumber='380977636218', operator=Kievstar}
, Subscriber{id=74, firstName='Ванесса', lastName='Колесникова', gender=ж, age=38, phoneNumber='380662539950', operator=Vodafone}
, Subscriber{id=75, firstName='Варвара', lastName='Иванова', gender=ж, age=60, phoneNumber='380938823445', operator=Life}
, Subscriber{id=76, firstName='Василиса', lastName='Смирнова', gender=ж, age=27, phoneNumber='380939746119', operator=Life}
, Subscriber{id=77, firstName='Венера', lastName='Кузнецова', gender=ж, age=47, phoneNumber='380661046762', operator=Vodafone}
, Subscriber{id=78, firstName='Вера', lastName='Попова', gender=ж, age=28, phoneNumber='380976082272', operator=Kievstar}
, Subscriber{id=79, firstName='Велизар', lastName='Бобылев', gender=м, age=34, phoneNumber='380952770964', operator=Vodafone}
, Subscriber{id=80, firstName='Вероника', lastName='Лебедева', gender=ж, age=77, phoneNumber='380973646552', operator=Kievstar}
, Subscriber{id=81, firstName='Версавия', lastName='Козлова', gender=ж, age=23, phoneNumber='380973721967', operator=Kievstar}
, Subscriber{id=82, firstName='Викентий', lastName='Осипов', gender=м, age=15, phoneNumber='380508179831', operator=Vodafone}
, Subscriber{id=83, firstName='Весняна', lastName='Морозова', gender=ж, age=18, phoneNumber='380937329923', operator=Life}
, Subscriber{id=84, firstName='Вилли', lastName='Федоров', gender=м, age=41, phoneNumber='380986690605', operator=Kievstar}
, Subscriber{id=85, firstName='ВидаВидана', lastName='Волкова', gender=ж, age=53, phoneNumber='380970288510', operator=Kievstar}
, Subscriber{id=86, firstName='Виссарион', lastName='Егоров', gender=м, age=13, phoneNumber='380502073152', operator=Vodafone}
, Subscriber{id=87, firstName='Вилора', lastName='Васильева', gender=ж, age=53, phoneNumber='380505832776', operator=Vodafone}
, Subscriber{id=88, firstName='Витольд', lastName='Бобров', gender=м, age=37, phoneNumber='380631852208', operator=Life}
, Subscriber{id=89, firstName='Виоланта', lastName='Павлова', gender=ж, age=8, phoneNumber='380636184575', operator=Life}
, Subscriber{id=90, firstName='Владислав', lastName='Калинин', gender=м, age=18, phoneNumber='380975166712', operator=Kievstar}
, Subscriber{id=91, firstName='Владлен', lastName='Анисимов', gender=м, age=58, phoneNumber='380934548843', operator=Life}
, Subscriber{id=92, firstName='Виталина', lastName='Виноградова', gender=ж, age=67, phoneNumber='380981176323', operator=Kievstar}
, Subscriber{id=93, firstName='Вольдемар', lastName='Антонов', gender=м, age=45, phoneNumber='380507839160', operator=Vodafone}
, Subscriber{id=94, firstName='Владислава', lastName='Воробьева', gender=ж, age=11, phoneNumber='380731898675', operator=Life}
, Subscriber{id=95, firstName='Вячеслав', lastName='Никифоров', gender=м, age=78, phoneNumber='380670193752', operator=Kievstar}
, Subscriber{id=96, firstName='Гавриил', lastName='Веселов', gender=м, age=49, phoneNumber='380671632154', operator=Kievstar}
, Subscriber{id=97, firstName='Галактион', lastName='Филиппов', gender=м, age=14, phoneNumber='380935191278', operator=Life}
, Subscriber{id=98, firstName='Гарри', lastName='Марков', gender=м, age=41, phoneNumber='380738801245', operator=Life}
, Subscriber{id=99, firstName='Гастон', lastName='Большаков', gender=м, age=13, phoneNumber='380937241741', operator=Life}
, Subscriber{id=100, firstName='Гаяс', lastName='Суханов', gender=м, age=72, phoneNumber='380503366507', operator=Vodafone}
, Subscriber{id=101, firstName='Гелана', lastName='Орлова', gender=ж, age=74, phoneNumber='380986034754', operator=Kievstar}
, Subscriber{id=102, firstName='Геннадий', lastName='Дан', gender=м, age=85, phoneNumber='380661671995', operator=Vodafone}
, Subscriber{id=103, firstName='Генрих', lastName='Александров', gender=м, age=51, phoneNumber='380985527797', operator=Kievstar}
, Subscriber{id=104, firstName='Гелианна', lastName='Андреева', gender=ж, age=18, phoneNumber='380982467166', operator=Kievstar}
, Subscriber{id=105, firstName='Геракл', lastName='Шестаков', gender=м, age=73, phoneNumber='380506647606', operator=Vodafone}
, Subscriber{id=106, firstName='Геральд', lastName='Казаков', gender=м, age=89, phoneNumber='380955907435', operator=Vodafone}
, Subscriber{id=107, firstName='Герасим', lastName='Ефимов', gender=м, age=88, phoneNumber='380633586596', operator=Life}
, Subscriber{id=108, firstName='Герда', lastName='Титова', gender=ж, age=88, phoneNumber='380934000351', operator=Life}
, Subscriber{id=109, firstName='Глеб', lastName='Хромов', gender=м, age=80, phoneNumber='380951063285', operator=Vodafone}
, Subscriber{id=110, firstName='Глафира', lastName='Кудрявцева', gender=ж, age=77, phoneNumber='380667512825', operator=Vodafone}
, Subscriber{id=111, firstName='Глория', lastName='Баранова', gender=ж, age=45, phoneNumber='380504734699', operator=Vodafone}
, Subscriber{id=112, firstName='Горислав', lastName='Мельников', gender=м, age=41, phoneNumber='380508308210', operator=Vodafone}
, Subscriber{id=113, firstName='Градимир', lastName='Щербаков', gender=м, age=56, phoneNumber='380639348383', operator=Life}
, Subscriber{id=114, firstName='Дана', lastName='Степанова', gender=ж, age=85, phoneNumber='380930557943', operator=Life}
, Subscriber{id=115, firstName='Данна', lastName='Яковалева', gender=ж, age=89, phoneNumber='380671431699', operator=Kievstar}
, Subscriber{id=116, firstName='Густав', lastName='Карпов', gender=м, age=40, phoneNumber='380639270002', operator=Life}
, Subscriber{id=117, firstName='Дания', lastName='Сергеева', gender=ж, age=22, phoneNumber='380678687049', operator=Kievstar}
, Subscriber{id=118, firstName='Данута', lastName='Романова', gender=ж, age=42, phoneNumber='380953220363', operator=Vodafone}
, Subscriber{id=119, firstName='Даниил', lastName='Маслов', gender=м, age=15, phoneNumber='380957256850', operator=Vodafone}
, Subscriber{id=120, firstName='Даниэль', lastName='Исаков', gender=м, age=20, phoneNumber='380676347041', operator=Kievstar}
, Subscriber{id=121, firstName='Дарья', lastName='Королева', gender=ж, age=39, phoneNumber='380936581579', operator=Life}
, Subscriber{id=122, firstName='Дарий', lastName='Аксёнов', gender=м, age=38, phoneNumber='380669687936', operator=Vodafone}
, Subscriber{id=123, firstName='Дементий', lastName='Гаврилов', gender=м, age=37, phoneNumber='380668320530', operator=Vodafone}
, Subscriber{id=124, firstName='Дебора', lastName='Григорьева', gender=ж, age=44, phoneNumber='380954286547', operator=Vodafone}
, Subscriber{id=125, firstName='Демосфен', lastName='Котов', gender=м, age=44, phoneNumber='380959426045', operator=Vodafone}
, Subscriber{id=126, firstName='Джулия', lastName='Медведева', gender=ж, age=72, phoneNumber='380508712602', operator=Vodafone}
, Subscriber{id=127, firstName='Денис', lastName='Кудряшов', gender=м, age=17, phoneNumber='380932113444', operator=Life}
, Subscriber{id=128, firstName='Джамал', lastName='Быков', gender=м, age=17, phoneNumber='380986528600', operator=Kievstar}
, Subscriber{id=129, firstName='Дина', lastName='Соболева', gender=ж, age=29, phoneNumber='380630981087', operator=Life}
, Subscriber{id=130, firstName='Динара', lastName='Рябова', gender=ж, age=25, phoneNumber='380672928657', operator=Kievstar}
, Subscriber{id=131, firstName='Добрыня', lastName='Савельев', gender=м, age=85, phoneNumber='380637690670', operator=Life}
, Subscriber{id=132, firstName='Дональд', lastName='Летов', gender=м, age=75, phoneNumber='380737614000', operator=Life}
, Subscriber{id=133, firstName='Диша', lastName='Данилова', gender=ж, age=15, phoneNumber='380675683169', operator=Kievstar}
, Subscriber{id=134, firstName='Доля', lastName='Жукова', gender=ж, age=10, phoneNumber='380671535361', operator=Kievstar}
, Subscriber{id=135, firstName='Евгений', lastName='Абрамов', gender=м, age=73, phoneNumber='380635889328', operator=Life}
, Subscriber{id=136, firstName='Евграф', lastName='Воронов', gender=м, age=35, phoneNumber='380958986382', operator=Vodafone}
, Subscriber{id=137, firstName='Дэнна', lastName='Николаева', gender=ж, age=24, phoneNumber='380732077283', operator=Life}
, Subscriber{id=138, firstName='Ева', lastName='Путина', gender=ж, age=80, phoneNumber='380934877550', operator=Life}
, Subscriber{id=139, firstName='Евгения', lastName='Молчанова', gender=ж, age=43, phoneNumber='380952997065', operator=Vodafone}
, Subscriber{id=140, firstName='Евстафий', lastName='Белозёров', gender=м, age=72, phoneNumber='380934003784', operator=Life}
, Subscriber{id=141, firstName='Екатерина', lastName='Максимова', gender=ж, age=81, phoneNumber='380678809665', operator=Kievstar}
, Subscriber{id=142, firstName='Елеазар', lastName='Самсонов', gender=м, age=75, phoneNumber='380736796033', operator=Life}
, Subscriber{id=143, firstName='Елена', lastName='Осипова', gender=ж, age=7, phoneNumber='380737003686', operator=Life}
, Subscriber{id=144, firstName='Емельян', lastName='Лихачёв', gender=м, age=6, phoneNumber='380675062732', operator=Kievstar}
, Subscriber{id=145, firstName='Еремей', lastName='Буров', gender=м, age=75, phoneNumber='380732076587', operator=Life}
, Subscriber{id=146, firstName='Ермолай', lastName='Сысоев', gender=м, age=65, phoneNumber='380661392002', operator=Vodafone}
, Subscriber{id=147, firstName='Ерофей', lastName='Трофимов', gender=м, age=17, phoneNumber='380974854551', operator=Kievstar}
, Subscriber{id=148, firstName='Женевьева', lastName='Панина', gender=ж, age=76, phoneNumber='380502406618', operator=Vodafone}
, Subscriber{id=149, firstName='Жюли', lastName='Матвеева', gender=ж, age=39, phoneNumber='380935438343', operator=Life}
, Subscriber{id=150, firstName='Жан', lastName='Горшков', gender=м, age=24, phoneNumber='380677713003', operator=Kievstar}
, Subscriber{id=151, firstName='Залина', lastName='Дмитриева', gender=ж, age=73, phoneNumber='380736946671', operator=Life}
, Subscriber{id=152, firstName='Зарина', lastName='Калинина', gender=ж, age=64, phoneNumber='380661762068', operator=Vodafone}
, Subscriber{id=153, firstName='Земфира', lastName='Анисимова', gender=ж, age=48, phoneNumber='380672482940', operator=Kievstar}
, Subscriber{id=154, firstName='Зиновий', lastName='Панфилов', gender=м, age=25, phoneNumber='380938062385', operator=Life}
, Subscriber{id=155, firstName='Ибрагим', lastName='Копылов', gender=м, age=7, phoneNumber='380668617724', operator=Vodafone}
, Subscriber{id=156, firstName='Зоряна', lastName='Антонова', gender=ж, age=89, phoneNumber='380503121126', operator=Vodafone}
, Subscriber{id=157, firstName='Златослава', lastName='Тимофеева', gender=ж, age=16, phoneNumber='380979919405', operator=Kievstar}
, Subscriber{id=158, firstName='Зоя', lastName='Никифорова', gender=ж, age=50, phoneNumber='380732051986', operator=Life}
, Subscriber{id=159, firstName='Иветта', lastName='Веселова', gender=ж, age=75, phoneNumber='380673875138', operator=Kievstar}
, Subscriber{id=160, firstName='Ильдар', lastName='Лукин', gender=м, age=90, phoneNumber='380676947186', operator=Kievstar}
, Subscriber{id=161, firstName='Ильнар', lastName='Беляков', gender=м, age=25, phoneNumber='380972795479', operator=Kievstar}
, Subscriber{id=162, firstName='Ильнур', lastName='Потапов', gender=м, age=14, phoneNumber='380931267036', operator=Life}
, Subscriber{id=163, firstName='Илья', lastName='Некрасов', gender=м, age=85, phoneNumber='380938204349', operator=Life}
, Subscriber{id=164, firstName='Илзе', lastName='Суханова', gender=ж, age=73, phoneNumber='380506734572', operator=Vodafone}
, Subscriber{id=165, firstName='Илена', lastName='Миронова', gender=ж, age=78, phoneNumber='380660718755', operator=Vodafone}
, Subscriber{id=166, firstName='Илона', lastName='Александрова', gender=ж, age=76, phoneNumber='380675334510', operator=Kievstar}
, Subscriber{id=167, firstName='Иосиф', lastName='Фомичёв', gender=м, age=53, phoneNumber='380674428055', operator=Kievstar}
, Subscriber{id=168, firstName='Индира', lastName='Шестакова', gender=ж, age=8, phoneNumber='380736421468', operator=Life}
, Subscriber{id=169, firstName='Искандер', lastName='Стрелков', gender=м, age=12, phoneNumber='380508252683', operator=Vodafone}
, Subscriber{id=170, firstName='Инесса', lastName='Ефимова', gender=ж, age=31, phoneNumber='380938406658', operator=Life}
, Subscriber{id=171, firstName='Камиль', lastName='Тетерин', gender=м, age=10, phoneNumber='380989865777', operator=Kievstar}
, Subscriber{id=172, firstName='Карим', lastName='Колобов', gender=м, age=47, phoneNumber='380505130231', operator=Vodafone}
, Subscriber{id=173, firstName='Карл', lastName='Субботин', gender=м, age=39, phoneNumber='380979476743', operator=Kievstar}
, Subscriber{id=174, firstName='Кирилл', lastName='Фокин', gender=м, age=73, phoneNumber='380674396197', operator=Kievstar}
, Subscriber{id=175, firstName='Клим', lastName='Шилов', gender=м, age=41, phoneNumber='380663385531', operator=Vodafone}
, Subscriber{id=176, firstName='Ирма', lastName='Мельникова', gender=ж, age=59, phoneNumber='380973979500', operator=Kievstar}
, Subscriber{id=177, firstName='Константин', lastName='Ермаков', gender=м, age=59, phoneNumber='380936108543', operator=Life}
, Subscriber{id=178, firstName='Корней', lastName='Дроздов', gender=м, age=64, phoneNumber='380667295528', operator=Vodafone}
, Subscriber{id=179, firstName='Калерия', lastName='Колесникова', gender=ж, age=81, phoneNumber='380671892432', operator=Kievstar}
, Subscriber{id=180, firstName='Лавр', lastName='Юрченко', gender=м, age=84, phoneNumber='380954935449', operator=Vodafone}
, Subscriber{id=181, firstName='Лаврентий', lastName='Логинов', gender=м, age=81, phoneNumber='380976496322', operator=Kievstar}
, Subscriber{id=182, firstName='Лев', lastName='Сафонов', gender=м, age=88, phoneNumber='380976200613', operator=Kievstar}
, Subscriber{id=183, firstName='Карина', lastName='Попова', gender=ж, age=45, phoneNumber='380662038265', operator=Vodafone}
, Subscriber{id=184, firstName='Леонид', lastName='Кириллов', gender=м, age=7, phoneNumber='380982552284', operator=Kievstar}
, Subscriber{id=185, firstName='Кармелитта', lastName='Лебедева', gender=ж, age=58, phoneNumber='380937814974', operator=Life}
, Subscriber{id=186, firstName='Леопольд', lastName='Елисеев', gender=м, age=84, phoneNumber='380951259007', operator=Vodafone}
, Subscriber{id=187, firstName='Лука', lastName='Кошелев', gender=м, age=34, phoneNumber='380632814665', operator=Life}
, Subscriber{id=188, firstName='Лукьян', lastName='Костин', gender=м, age=26, phoneNumber='380507501637', operator=Vodafone}
, Subscriber{id=189, firstName='Любим', lastName='Горбачёв', gender=м, age=82, phoneNumber='380952250500', operator=Vodafone}
, Subscriber{id=190, firstName='Клара', lastName='Волкова', gender=ж, age=14, phoneNumber='380955463144', operator=Vodafone}
, Subscriber{id=191, firstName='Максим', lastName='Ефремов', gender=м, age=24, phoneNumber='380737885092', operator=Life}
, Subscriber{id=192, firstName='Крис', lastName='Васильева', gender=ж, age=55, phoneNumber='380634894209', operator=Life}
, Subscriber{id=193, firstName='Марат', lastName='Евдокимов', gender=м, age=81, phoneNumber='380736267647', operator=Life}
, Subscriber{id=194, firstName='Марк', lastName='Калашников', gender=м, age=87, phoneNumber='380988756106', operator=Kievstar}
, Subscriber{id=195, firstName='Лада', lastName='Семенова', gender=ж, age=20, phoneNumber='380679868983', operator=Kievstar}
, Subscriber{id=196, firstName='Мартин', lastName='Носков', gender=м, age=45, phoneNumber='380503737464', operator=Vodafone}
, Subscriber{id=197, firstName='Ландыш', lastName='Виноградова', gender=ж, age=90, phoneNumber='380950364929', operator=Vodafone}
, Subscriber{id=198, firstName='Мирон', lastName='Кулагин', gender=м, age=46, phoneNumber='380935285334', operator=Life}
, Subscriber{id=199, firstName='Лали', lastName='Воробьева', gender=ж, age=56, phoneNumber='380977507508', operator=Kievstar}
, Subscriber{id=200, firstName='Митрофаний', lastName='Прохоров', gender=м, age=79, phoneNumber='380735573041', operator=Life}
, Subscriber{id=201, firstName='Лаура', lastName='Михайлова', gender=ж, age=58, phoneNumber='380503428118', operator=Vodafone}
, Subscriber{id=202, firstName='Леся', lastName='Беляева', gender=ж, age=52, phoneNumber='380661834500', operator=Vodafone}
, Subscriber{id=203, firstName='Мишель', lastName='Агафонов', gender=м, age=32, phoneNumber='380663328544', operator=Vodafone}
, Subscriber{id=204, firstName='Мстислав', lastName='Муравьёв', gender=м, age=44, phoneNumber='380671489992', operator=Kievstar}
, Subscriber{id=205, firstName='Мурат', lastName='Ларионов', gender=м, age=11, phoneNumber='380931695183', operator=Life}
, Subscriber{id=206, firstName='Лидия', lastName='Орлова', gender=ж, age=59, phoneNumber='380660676175', operator=Vodafone}
, Subscriber{id=207, firstName='Назар', lastName='Зимин', gender=м, age=54, phoneNumber='380500891245', operator=Vodafone}
, Subscriber{id=208, firstName='Лигия', lastName='Макарова', gender=ж, age=60, phoneNumber='380984354452', operator=Kievstar}
, Subscriber{id=209, firstName='Лина', lastName='Андреева', gender=ж, age=19, phoneNumber='380638373982', operator=Life}
, Subscriber{id=210, firstName='Натан', lastName='Игнатов', gender=м, age=46, phoneNumber='380632222119', operator=Life}
, Subscriber{id=211, firstName='Наум', lastName='Филатов', gender=м, age=64, phoneNumber='380986338848', operator=Kievstar}
, Subscriber{id=212, firstName='Лилия', lastName='Гусева', gender=ж, age=72, phoneNumber='380985530081', operator=Kievstar}
, Subscriber{id=213, firstName='Лили', lastName='Титова', gender=ж, age=8, phoneNumber='380661362531', operator=Vodafone}
, Subscriber{id=214, firstName='Лия', lastName='Кузьмина', gender=ж, age=56, phoneNumber='380639049582', operator=Life}
, Subscriber{id=215, firstName='Никифор', lastName='Терентьев', gender=м, age=6, phoneNumber='380502158765', operator=Vodafone}
, Subscriber{id=216, firstName='Николай', lastName='Молчанов', gender=м, age=67, phoneNumber='380971463790', operator=Kievstar}
, Subscriber{id=217, firstName='Лунара', lastName='Куликова', gender=ж, age=45, phoneNumber='380736361859', operator=Life}
, Subscriber{id=218, firstName='Любава', lastName='Алексеева', gender=ж, age=78, phoneNumber='380736939951', operator=Life}
, Subscriber{id=219, firstName='Любовь', lastName='Степанова', gender=ж, age=45, phoneNumber='380936980880', operator=Life}
, Subscriber{id=220, firstName='Овидий', lastName='Зиновьев', gender=м, age=8, phoneNumber='380670816228', operator=Kievstar}
, Subscriber{id=221, firstName='Ляля', lastName='Сорокина', gender=ж, age=54, phoneNumber='380931528195', operator=Life}
, Subscriber{id=222, firstName='Олег', lastName='Кононов', gender=м, age=60, phoneNumber='380732494003', operator=Life}
, Subscriber{id=223, firstName='Маргарита', lastName='Романова', gender=ж, age=19, phoneNumber='380974067515', operator=Kievstar}
, Subscriber{id=224, firstName='Магда', lastName='Захарова', gender=ж, age=5, phoneNumber='380639402260', operator=Life}
, Subscriber{id=225, firstName='Магдалина', lastName='Борисова', gender=ж, age=42, phoneNumber='380971550984', operator=Kievstar}
, Subscriber{id=226, firstName='Осип', lastName='Мишин', gender=м, age=5, phoneNumber='380931746563', operator=Life}
, Subscriber{id=227, firstName='Оскар', lastName='Блохин', gender=м, age=37, phoneNumber='380674399304', operator=Kievstar}
, Subscriber{id=228, firstName='Марианна', lastName='Пономарева', gender=ж, age=36, phoneNumber='380974108472', operator=Kievstar}
, Subscriber{id=229, firstName='Марьяна', lastName='Григорьева', gender=ж, age=5, phoneNumber='380731451902', operator=Life}
, Subscriber{id=230, firstName='Платон', lastName='Кондратьев', gender=м, age=61, phoneNumber='380976445973', operator=Kievstar}
, Subscriber{id=231, firstName='Прохор', lastName='Силин', gender=м, age=47, phoneNumber='380663068210', operator=Vodafone}
, Subscriber{id=232, firstName='Мальта', lastName='Ершова', gender=ж, age=85, phoneNumber='380638283704', operator=Life}
